epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,223.187,0.85031,1.34536,0.04971,0.13055,0.85457,0.84403,0.9085,0.75911,0.62386,0.60444,0.06179,0.10486,0.000662222,0.000662222,0.000662222
2,394.454,0.77478,0.54456,0.04876,0.11107,0.83312,0.78504,0.87777,0.70235,0.71465,1.0709,0.0634,0.10846,0.00130258,0.00130258,0.00130258
3,565.561,0.78811,0.532,0.04888,0.11142,0.71076,0.7167,0.76948,0.55321,0.88813,2.06943,0.05767,0.12962,0.00191653,0.00191653,0.00191653
4,736.444,0.77409,0.51044,0.04857,0.10714,0.7987,0.75812,0.8116,0.65144,0.75252,0.98244,0.06096,0.11062,0.0018812,0.0018812,0.0018812
5,907.228,0.73491,0.47856,0.04921,0.10056,0.83258,0.77925,0.84225,0.68568,0.7223,0.79963,0.06025,0.10691,0.0018416,0.0018416,0.0018416
6,1077.4,0.69687,0.45219,0.04808,0.09316,0.84487,0.83662,0.87972,0.72685,0.65807,0.73803,0.05818,0.09494,0.001802,0.001802,0.001802
7,1248.01,0.66975,0.42544,0.04824,0.08916,0.82142,0.81824,0.86874,0.73915,0.60171,0.73471,0.06478,0.09914,0.0017624,0.0017624,0.0017624
8,1419.59,0.64984,0.41584,0.0478,0.08403,0.85932,0.86551,0.90816,0.76016,0.61487,0.59712,0.05789,0.08942,0.0017228,0.0017228,0.0017228
9,1590.34,0.62946,0.39918,0.04849,0.0806,0.84877,0.82938,0.87154,0.74018,0.61749,0.7301,0.05778,0.09451,0.0016832,0.0016832,0.0016832
10,1760.51,0.61445,0.3851,0.04795,0.07784,0.91219,0.87707,0.93248,0.8102,0.54511,0.45421,0.05735,0.08479,0.0016436,0.0016436,0.0016436
11,1931.88,0.60361,0.37823,0.0473,0.0754,0.88353,0.88747,0.92652,0.80293,0.5283,0.54002,0.0581,0.08463,0.001604,0.001604,0.001604
12,2102.04,0.58946,0.37143,0.04762,0.07238,0.89851,0.86495,0.93252,0.80923,0.53702,0.53212,0.0586,0.09386,0.0015644,0.0015644,0.0015644
13,2272.06,0.58828,0.37175,0.04805,0.072,0.9271,0.90274,0.94803,0.83882,0.50351,0.39407,0.05684,0.08404,0.0015248,0.0015248,0.0015248
14,2443.15,0.56383,0.35004,0.04733,0.06756,0.90102,0.91636,0.94348,0.82992,0.49295,0.43065,0.05998,0.0819,0.0014852,0.0014852,0.0014852
15,2613.75,0.56274,0.34348,0.04655,0.06803,0.90049,0.8905,0.94209,0.82746,0.49883,0.51191,0.05541,0.07933,0.0014456,0.0014456,0.0014456
16,2785.08,0.54808,0.33773,0.04836,0.06378,0.90371,0.89404,0.93572,0.81982,0.51903,0.46724,0.06047,0.08019,0.001406,0.001406,0.001406
17,2955.75,0.5256,0.32649,0.04782,0.05905,0.91348,0.91127,0.94725,0.84211,0.46204,0.40026,0.05728,0.07723,0.0013664,0.0013664,0.0013664
18,3127.15,0.52727,0.32618,0.04853,0.06075,0.91566,0.88727,0.92065,0.81324,0.5046,0.4674,0.05655,0.07754,0.0013268,0.0013268,0.0013268
19,3297.96,0.51485,0.31874,0.04753,0.05801,0.93039,0.9209,0.95481,0.86433,0.43883,0.35958,0.05796,0.07798,0.0012872,0.0012872,0.0012872
