epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2619,1.58378,1.93896,0.01161,0.01157,0.50896,0.58182,0.49057,0.24929,1.01192,1.43248,0.0128,0.02458,0.000652174,0.000652174,0.000652174
2,84.4265,1.17289,1.57944,0.00833,0.01778,0.60255,0.57889,0.55191,0.3544,0.80029,1.34132,0.00952,0.02379,0.00130252,0.00130252,0.00130252
3,107.685,1.0694,1.40104,0.00832,0.01754,0.60873,0.65455,0.61998,0.37308,0.79289,1.14333,0.0093,0.02418,0.00193637,0.00193637,0.00193637
4,131.497,1.05764,1.34449,0.00767,0.01781,0.84509,0.6,0.75987,0.50177,0.85706,0.9305,0.01029,0.0233,0.00192575,0.00192575,0.00192575
5,155.401,1.09172,1.2964,0.00814,0.01898,0.5778,0.77142,0.68536,0.4181,0.8456,1.02243,0.0118,0.02458,0.001901,0.001901,0.001901
6,178.844,1.03387,1.21647,0.00794,0.01766,0.6955,0.65455,0.7059,0.4762,0.80677,0.97106,0.01065,0.02297,0.00187625,0.00187625,0.00187625
7,203.597,1.02384,1.16864,0.00758,0.01606,0.74293,0.68319,0.66647,0.46344,0.84192,0.96801,0.01036,0.02371,0.0018515,0.0018515,0.0018515
8,227.906,1.00343,1.14424,0.00779,0.01871,0.75669,0.69091,0.7305,0.48137,0.78086,0.94052,0.00916,0.02226,0.00182675,0.00182675,0.00182675
9,252.239,0.95722,1.07591,0.00705,0.01626,0.64171,0.74545,0.70049,0.46796,0.82586,0.86263,0.01055,0.02299,0.001802,0.001802,0.001802
10,277.396,0.98035,1.04774,0.00789,0.01636,0.73113,0.65455,0.70689,0.48083,0.88157,0.8694,0.00936,0.0218,0.00177725,0.00177725,0.00177725
11,300.903,0.97247,1.06861,0.00734,0.0204,0.69889,0.78182,0.72493,0.47186,0.805,0.95612,0.00934,0.02368,0.0017525,0.0017525,0.0017525
12,325.322,0.96578,1.08458,0.00728,0.01702,0.65769,0.73367,0.72121,0.47454,0.8139,0.94939,0.01022,0.02315,0.00172775,0.00172775,0.00172775
13,349.184,0.90699,1.02435,0.00692,0.0149,0.59849,0.74545,0.69429,0.44807,0.83886,0.94479,0.01092,0.02082,0.001703,0.001703,0.001703
14,373.029,0.86948,0.9237,0.0063,0.01223,0.78285,0.74545,0.76085,0.48328,0.82611,0.90359,0.01031,0.02274,0.00167825,0.00167825,0.00167825
15,397.101,0.93805,0.92806,0.00688,0.02029,0.77874,0.72727,0.74027,0.47936,0.81599,0.89269,0.01062,0.02492,0.0016535,0.0016535,0.0016535
16,422.063,0.89663,0.93539,0.00643,0.01788,0.64498,0.70909,0.68902,0.44339,0.75891,1.14845,0.00893,0.02339,0.00162875,0.00162875,0.00162875
17,446.171,0.89345,0.91052,0.00687,0.0161,0.79345,0.78182,0.7868,0.50771,0.74123,0.91984,0.00954,0.02301,0.001604,0.001604,0.001604
18,470.416,0.90205,0.87108,0.00624,0.01801,0.6844,0.74919,0.71278,0.4707,0.86962,0.87157,0.01038,0.02432,0.00157925,0.00157925,0.00157925
19,494.81,0.91878,0.84781,0.00624,0.01344,0.78229,0.78403,0.75687,0.51995,0.75354,0.879,0.00891,0.02356,0.0015545,0.0015545,0.0015545
20,518.733,0.88212,0.85393,0.00684,0.01974,0.65935,0.85455,0.79762,0.50717,0.80436,0.881,0.01054,0.02225,0.00152975,0.00152975,0.00152975
21,542.171,0.82873,0.80794,0.00554,0.01155,0.65274,0.72727,0.71915,0.4624,0.80907,0.92915,0.01004,0.02743,0.001505,0.001505,0.001505
22,567.389,0.84836,0.7774,0.00631,0.01688,0.84859,0.69091,0.7919,0.55976,0.75735,0.85275,0.00948,0.02787,0.00148025,0.00148025,0.00148025
23,591.753,0.83585,0.74506,0.00608,0.01428,0.82199,0.75568,0.79167,0.50057,0.88789,0.90677,0.01029,0.02859,0.0014555,0.0014555,0.0014555
24,615.545,0.89328,0.80143,0.00615,0.01316,0.75951,0.69091,0.70823,0.48461,0.75709,1.02719,0.00898,0.02483,0.00143075,0.00143075,0.00143075
25,639.025,0.80567,0.73163,0.00566,0.01557,0.77617,0.76364,0.77107,0.52554,0.74293,0.86185,0.0096,0.01937,0.001406,0.001406,0.001406
26,662.987,0.85354,0.77461,0.00587,0.01363,0.69007,0.76923,0.72488,0.47998,0.849,0.98187,0.01006,0.0222,0.00138125,0.00138125,0.00138125
27,687.75,0.82488,0.75962,0.00601,0.01557,0.75616,0.78945,0.79529,0.5305,0.78848,0.81566,0.00937,0.03542,0.0013565,0.0013565,0.0013565
28,711.241,0.81235,0.78858,0.00663,0.01693,0.76264,0.74545,0.73927,0.48626,0.8946,0.83179,0.01026,0.02661,0.00133175,0.00133175,0.00133175
29,736.036,0.81494,0.70818,0.00602,0.0154,0.82115,0.72727,0.79733,0.53499,0.7636,0.81877,0.00942,0.02537,0.001307,0.001307,0.001307
