epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,95.0007,1.29224,1.25612,0.00985,0.00045,0.89345,0.81713,0.93031,0.66774,0.94589,0.54287,0.0096,4e-05,0.00065873,0.00065873,0.00065873
2,148.335,1.04136,0.77307,0.00759,7e-05,0.86385,0.90278,0.94842,0.68711,0.91668,0.51919,0.00895,2e-05,0.001309,0.001309,0.001309
3,201.339,1.06275,0.72427,0.0078,3e-05,0.95521,0.88851,0.96543,0.71407,0.93016,0.46615,0.00935,2e-05,0.00194276,0.00194276,0.00194276
4,254.232,1.00916,0.67522,0.00732,3e-05,0.90406,0.93287,0.97212,0.72655,0.90159,0.4204,0.00868,2e-05,0.00192575,0.00192575,0.00192575
5,307.141,0.99486,0.65423,0.00708,4e-05,0.88433,0.91667,0.95379,0.70921,0.8939,0.54514,0.00864,0,0.001901,0.001901,0.001901
6,359.836,0.97521,0.6389,0.00707,6e-05,0.92843,0.92824,0.97312,0.71472,0.90263,0.40963,0.00881,0,0.00187625,0.00187625,0.00187625
7,412.643,1.0128,0.64482,0.00726,7e-05,0.95387,0.91667,0.97276,0.7235,0.88667,0.37813,0.0088,2e-05,0.0018515,0.0018515,0.0018515
8,465.299,0.97353,0.61215,0.00687,5e-05,0.93487,0.94213,0.9807,0.72663,0.89145,0.36589,0.0085,1e-05,0.00182675,0.00182675,0.00182675
9,518.081,0.98069,0.62791,0.00706,2e-05,0.92005,0.95897,0.9787,0.73453,0.89105,0.40657,0.00863,0,0.001802,0.001802,0.001802
10,570.821,0.97718,0.62881,0.00723,4e-05,0.94126,0.90741,0.97612,0.72921,0.87677,0.4102,0.00806,0,0.00177725,0.00177725,0.00177725
11,623.491,0.95948,0.60382,0.00683,4e-05,0.91947,0.95149,0.9776,0.74387,0.86664,0.3799,0.00852,3e-05,0.0017525,0.0017525,0.0017525
