epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,97.1204,1.29645,4.7757,0.01627,0.01056,0.64609,0.47291,0.57607,0.40205,0.82205,1.48644,0.00865,0.00019,0.000660969,0.000660969,0.000660969
2,166.759,1.06737,1.82629,0.01455,0.0009,0.65373,0.51205,0.64573,0.48804,0.8317,1.37379,0.00968,0.0003,0.00131449,0.00131449,0.00131449
3,235.968,1.06624,1.6244,0.01447,0.00097,0.65949,0.64172,0.67923,0.53409,0.78428,1.14152,0.00908,0.00032,0.00195481,0.00195481,0.00195481
4,304.841,1.02547,1.50732,0.01403,0.00081,0.7487,0.73585,0.79496,0.6491,0.63793,1.05913,0.0063,0.00013,0.0019406,0.0019406,0.0019406
5,373.7,0.9661,1.3332,0.01299,0.00066,0.72858,0.76004,0.81488,0.67146,0.71183,0.82435,0.00792,0.00015,0.0019208,0.0019208,0.0019208
6,442.596,0.93639,1.27623,0.01296,0.00053,0.82315,0.76506,0.83891,0.68877,0.63532,0.79308,0.00755,4e-05,0.001901,0.001901,0.001901
7,511.551,0.86709,1.14219,0.01221,0.00038,0.85938,0.77313,0.86334,0.73023,0.66804,0.67278,0.00678,0.00014,0.0018812,0.0018812,0.0018812
8,580.391,0.85942,1.06232,0.01162,0.00029,0.82709,0.83565,0.88276,0.74578,0.6382,0.64462,0.00762,2e-05,0.0018614,0.0018614,0.0018614
9,649.26,0.83969,1.01346,0.01136,0.00045,0.88748,0.77711,0.87936,0.72148,0.66986,0.71213,0.00829,4e-05,0.0018416,0.0018416,0.0018416
10,717.983,0.77744,0.97559,0.01008,0.00033,0.83832,0.85542,0.92596,0.82377,0.46622,0.56311,0.00551,3e-05,0.0018218,0.0018218,0.0018218
11,786.814,0.77142,0.98445,0.01037,0.00036,0.83413,0.8494,0.90641,0.78402,0.56125,0.60193,0.00635,1e-05,0.001802,0.001802,0.001802
12,855.599,0.75808,0.93469,0.01063,0.00031,0.88935,0.8494,0.9211,0.80314,0.50549,0.56893,0.00494,1e-05,0.0017822,0.0017822,0.0017822
13,924.344,0.78305,0.94262,0.01046,0.00029,0.89251,0.8253,0.929,0.81868,0.48656,0.50787,0.00549,4e-05,0.0017624,0.0017624,0.0017624
14,993.039,0.74914,0.89916,0.01034,0.00056,0.88072,0.74096,0.86196,0.75965,0.52838,0.71201,0.00611,3e-05,0.0017426,0.0017426,0.0017426
15,1061.92,0.73542,0.88021,0.01069,0.00035,0.87679,0.85737,0.93051,0.80602,0.51522,0.52408,0.00609,5e-05,0.0017228,0.0017228,0.0017228
16,1130.84,0.72179,0.80982,0.00969,0.00027,0.87641,0.89759,0.92193,0.83333,0.45778,0.50394,0.00519,2e-05,0.001703,0.001703,0.001703
17,1199.79,0.69834,0.82211,0.00945,0.00023,0.95179,0.80723,0.93104,0.85849,0.41295,0.46383,0.00437,6e-05,0.0016832,0.0016832,0.0016832
18,1268.65,0.68935,0.80263,0.0096,0.00028,0.85351,0.87748,0.90684,0.8092,0.48999,0.54984,0.00565,8e-05,0.0016634,0.0016634,0.0016634
19,1337.33,0.68689,0.80565,0.00904,0.00024,0.94823,0.88276,0.96197,0.85745,0.42604,0.42329,0.00413,2e-05,0.0016436,0.0016436,0.0016436
20,1406.16,0.65081,0.75149,0.00883,0.00023,0.9052,0.86279,0.94792,0.87285,0.41359,0.39844,0.00442,1e-05,0.0016238,0.0016238,0.0016238
21,1475.01,0.65604,0.72394,0.00906,0.00017,0.84539,0.92226,0.94651,0.8629,0.39785,0.43479,0.00397,1e-05,0.001604,0.001604,0.001604
22,1543.82,0.63544,0.69767,0.00819,0.00023,0.93781,0.90837,0.95911,0.88941,0.39037,0.34527,0.00415,1e-05,0.0015842,0.0015842,0.0015842
23,1612.59,0.62253,0.65575,0.00833,0.00026,0.9156,0.94578,0.963,0.8836,0.40764,0.34645,0.00413,0,0.0015644,0.0015644,0.0015644
24,1681.38,0.59706,0.64355,0.00817,0.00018,0.95242,0.89157,0.96148,0.89376,0.35915,0.34847,0.00371,0,0.0015446,0.0015446,0.0015446
25,1750.2,0.61755,0.65393,0.00819,0.00013,0.90922,0.85542,0.91276,0.81777,0.45811,0.49562,0.00495,0,0.0015248,0.0015248,0.0015248
26,1819.07,0.62537,0.66892,0.00775,0.00023,0.91961,0.89592,0.94259,0.87611,0.38557,0.40354,0.00429,1e-05,0.001505,0.001505,0.001505
27,1887.91,0.59556,0.64538,0.00774,0.00012,0.88122,0.90964,0.94506,0.87196,0.38859,0.40263,0.00398,5e-05,0.0014852,0.0014852,0.0014852
28,1957.01,0.59761,0.6456,0.00856,0.0002,0.93633,0.91566,0.96174,0.90913,0.35012,0.27269,0.00331,2e-05,0.0014654,0.0014654,0.0014654
29,2026.03,0.58444,0.64115,0.00767,0.00021,0.93285,0.90361,0.94773,0.89023,0.38425,0.3375,0.00431,1e-05,0.0014456,0.0014456,0.0014456
30,2094.7,0.58298,0.60316,0.00759,0.00028,0.94723,0.90361,0.9613,0.90018,0.35303,0.34899,0.00346,0,0.0014258,0.0014258,0.0014258
31,2163.45,0.56969,0.60574,0.00749,0.00023,0.97467,0.92709,0.97423,0.91015,0.37169,0.27719,0.00361,3e-05,0.001406,0.001406,0.001406
32,2232.34,0.56803,0.54892,0.00718,0.00021,0.97205,0.91566,0.96188,0.91535,0.34245,0.26606,0.00352,2e-05,0.0013862,0.0013862,0.0013862
33,2301.04,0.56532,0.58164,0.00756,0.00018,0.95792,0.96002,0.97889,0.92677,0.32506,0.24982,0.00329,0,0.0013664,0.0013664,0.0013664
34,2369.91,0.56773,0.57113,0.00733,0.00021,0.93184,0.90588,0.9545,0.89908,0.36054,0.36946,0.00354,2e-05,0.0013466,0.0013466,0.0013466
35,2438.61,0.53066,0.52164,0.007,0.00025,0.95692,0.93675,0.97253,0.92898,0.34126,0.25419,0.00298,1e-05,0.0013268,0.0013268,0.0013268
36,2507.45,0.52706,0.51254,0.00708,0.0001,0.93926,0.96386,0.97486,0.93127,0.33929,0.23986,0.00322,0,0.001307,0.001307,0.001307
37,2576.32,0.54572,0.52268,0.00761,0.00016,0.95157,0.94686,0.97203,0.93696,0.29829,0.24693,0.00334,1e-05,0.0012872,0.0012872,0.0012872
38,2645.29,0.53145,0.52435,0.00742,0.00017,0.96171,0.90775,0.97155,0.92288,0.34143,0.28171,0.00361,1e-05,0.0012674,0.0012674,0.0012674
39,2714.21,0.52753,0.52793,0.00676,0.00011,0.95585,0.91296,0.96787,0.93038,0.31752,0.27817,0.00297,2e-05,0.0012476,0.0012476,0.0012476
40,2783.02,0.53008,0.49883,0.00676,0.00015,0.9404,0.95056,0.97285,0.92806,0.31174,0.26134,0.00308,2e-05,0.0012278,0.0012278,0.0012278
41,2851.76,0.51383,0.49762,0.00693,0.00023,0.9579,0.95957,0.97939,0.93953,0.29314,0.22191,0.00285,2e-05,0.001208,0.001208,0.001208
42,2920.49,0.5067,0.47381,0.0067,0.00016,0.91686,0.93976,0.9629,0.92714,0.27468,0.31461,0.00264,1e-05,0.0011882,0.0011882,0.0011882
43,2989.18,0.49695,0.44931,0.00635,0.00013,0.92733,0.93976,0.97251,0.95024,0.26751,0.24552,0.00252,0,0.0011684,0.0011684,0.0011684
44,3058.19,0.49895,0.46089,0.00655,0.00016,0.96194,0.93976,0.97593,0.9427,0.29031,0.2135,0.00289,0,0.0011486,0.0011486,0.0011486
45,3126.88,0.50941,0.45983,0.00667,0.00012,0.97246,0.92771,0.97516,0.94679,0.26538,0.24602,0.00232,1e-05,0.0011288,0.0011288,0.0011288
46,3195.56,0.4818,0.4443,0.0063,0.00011,0.95621,0.92091,0.97342,0.92479,0.34254,0.24113,0.00289,1e-05,0.001109,0.001109,0.001109
47,3264.31,0.4793,0.4584,0.00626,0.00014,0.93416,0.93373,0.96341,0.9384,0.26553,0.30506,0.00246,1e-05,0.0010892,0.0010892,0.0010892
48,3333.09,0.47206,0.45963,0.00605,0.0001,0.9627,0.93296,0.96474,0.93505,0.2867,0.25442,0.00262,0,0.0010694,0.0010694,0.0010694
49,3401.8,0.48399,0.45661,0.00623,0.00014,0.91757,0.93373,0.95975,0.91953,0.31143,0.29437,0.00288,1e-05,0.0010496,0.0010496,0.0010496
50,3470.53,0.47437,0.4283,0.00615,0.00018,0.93417,0.95181,0.97416,0.93918,0.27967,0.27436,0.00262,0,0.0010298,0.0010298,0.0010298
51,3539.18,0.48418,0.46251,0.00626,0.0001,0.9401,0.94552,0.96469,0.93391,0.29338,0.31147,0.00282,2e-05,0.00101,0.00101,0.00101
52,3607.87,0.45471,0.41486,0.00634,7e-05,0.9717,0.92771,0.96697,0.93124,0.28261,0.2983,0.00262,1e-05,0.0009902,0.0009902,0.0009902
53,3676.48,0.46461,0.41175,0.00601,9e-05,0.95651,0.92749,0.97179,0.94845,0.25902,0.24544,0.00243,4e-05,0.0009704,0.0009704,0.0009704
54,3745.13,0.46299,0.40981,0.00632,0.00025,0.9457,0.94428,0.96766,0.94562,0.26788,0.26182,0.00246,3e-05,0.0009506,0.0009506,0.0009506
55,3813.85,0.47484,0.42713,0.00594,0.00014,0.92476,0.96249,0.97539,0.95618,0.25551,0.21938,0.00241,0,0.0009308,0.0009308,0.0009308
56,3882.65,0.4472,0.41111,0.00585,0.00013,0.9513,0.96386,0.96026,0.93258,0.29114,0.27093,0.00283,1e-05,0.000911,0.000911,0.000911
57,3951.24,0.45925,0.42116,0.00612,0.00014,0.95701,0.95783,0.9615,0.93668,0.26778,0.22794,0.00278,0,0.0008912,0.0008912,0.0008912
58,4020,0.44692,0.39546,0.00572,0.00014,0.9522,0.96006,0.9707,0.95326,0.25788,0.21336,0.00261,2e-05,0.0008714,0.0008714,0.0008714
59,4088.83,0.46142,0.38025,0.00592,8e-05,0.96821,0.95783,0.97819,0.9527,0.26137,0.20275,0.00256,2e-05,0.0008516,0.0008516,0.0008516
60,4157.7,0.43729,0.3722,0.00569,0.00011,0.96643,0.94578,0.9774,0.93748,0.30282,0.2408,0.00292,4e-05,0.0008318,0.0008318,0.0008318
